Oligo-ID,Gene symbols,Entrez gene IDs,RefSeq IDs,Gene IDs,Transcript IDs
Hs12056.1,ASGR1,ASGR1,NM_001671.4; NM_001197216.2,ENSG00000141505,
A_23_P357936,ASTN2,ASTN2,NM_198186.3; NM_001184734.1; NM_198187.3; NM_198188.2; NM_014010.4; NM_001184735.1,ENSG00000148219,ENST00000373996; ENST00000313400; ENST00000361209; ENST00000373986; ENST00000341734; ENST00000288520
A_23_P52806,BACE1,BACE1,NM_012104.4; NM_138971.3; NM_138972.3; NM_138973.3; NM_001207049.1; NM_001077239.1; NM_207343.2,ENSG00000186318,ENST00000392937; ENST00000313005; ENST00000530849
Hs8383.2,BAZ2B,BAZ2B,NM_013450; NP_038478,ENSG00000123636,
A_24_P779258,BCCIP,BCCIP,NM_078468.2; NM_078469.2; NM_016567.3,ENSG00000107949,ENST00000429863; ENST00000463330
A_24_P797455,C7orf49; TMEM140,LOC653739; TMEM140,NM_001243749.1; NM_001243753.1; NM_001243751.1; NM_024033.3; NM_018295.3,ENSG00000122783; ENSG00000146859,
A_23_P201156,CADM3,CADM3,NM_021189.3; NM_001127173.1,ENSG00000162706,ENST00000368125; ENST00000368124
A_23_P42882,CAMK2B,CAMK2B,NM_001220.4; NM_172078.2; NM_172081.2; NM_172083.2; NM_172082.2; NM_172084.2; NM_172079.2; NM_172080.2,ENSG00000058404,ENST00000502837; ENST00000457475; ENST00000395747; ENST00000258682; ENST00000346990; ENST00000347193; ENST00000353185; ENST00000489429; ENST00000497584; ENST00000353625; ENST00000466584; ENST00000358707; ENST00000440254; ENST00000425809; ENST00000523845; ENST00000395749; ENST00000350811
Hs4884.1,CAMK2B,CAMK2B,NM_001220; NM_172078; NM_172079; NM_172080; NM_172081; NM_172082; NM_172083; NM_172084; NP_001211; NP_742075; NP_742076; NP_742077; NP_742078; NP_742079; NP_742080; NP_742081,ENSG00000058404,
A_23_P431933,CAMKK1,CAMKK1,NM_172206.1; NM_032294.2; NM_172207.2,ENSG00000004660,ENST00000381771; ENST00000348335; ENST00000381769
A_24_P861099,CASC15,CASC15,,,ENST00000606851
A_23_P213237,CBR4,CBR4,NM_032783.4,ENSG00000145439,ENST00000306193
A_23_P49616,CCDC47,CCDC47,NM_020198.2,ENSG00000108588,ENST00000225726
A_24_P943792,CD47,CD47,NM_198793.2; NM_001777.3,ENSG00000196776,ENST00000355354; ENST00000471694
A_32_P136477,CDRT4; TVP23C-CDRT4; TVP23C,CDRT4; TVP23C-CDRT4; TVP23C,NM_001204477.1; NM_001204478.1; NM_145301.2; NM_001135036.1,ENSG00000239704; ENSG00000259024; ENSG00000175106,
A_23_P1199,CEBPZ,CEBPZ,NM_005760.2,ENSG00000115816; ENSG00000218739,ENST00000489306; ENST00000234170; ENST00000402297
A_32_P90709,CEP85L,CEP85L,NM_001042475.2; NM_206921.2; NM_001178035.1,ENSG00000111860,ENST00000368488; ENST00000368491
A_23_P163306,CGNL1,CGNL1,NM_001252335.1; NM_032866.4,ENSG00000128849,ENST00000281282
A_24_P135319,CGNL1,CGNL1,NM_001252335.1; NM_032866.4,ENSG00000128849,ENST00000281282
A_24_P135841,CGNL1,LOC100652739,,ENSG00000223701,ENST00000446954
A_23_P385263,CHD5,CHD5,NM_015557.2,ENSG00000116254,ENST00000378021; ENST00000262450
A_23_P417363,CLIP4,CLIP4,NM_024692.4,ENSG00000115295,ENST00000456385; ENST00000415891; ENST00000401605
A_32_P73045,CMAS,CMAS,NM_018686.4,ENSG00000111726,ENST00000537658; ENST00000535610; ENST00000229329
A_23_P214208,CNR1,CNR1,NM_033181.3; NM_001160259.1; NM_016083.4; NM_001160226.1; NM_001160258.1,ENSG00000118432,ENST00000537554; ENST00000535130; ENST00000369499; ENST00000369501
A_32_P441462,CNTNAP2,CNTNAP2,NM_014141.5,ENSG00000174469,ENST00000361727
A_24_P823708,COX20,LOC728875; LINC00623,,ENSG00000236943; ENSG00000269501,ENST00000442509; ENST00000444581
A_24_P867111,COX20,LOC283177,,ENSG00000255545,ENST00000528482; ENST00000528482
A_23_P14026,CREBL2,CREBL2,NM_001310.2,ENSG00000111269,ENST00000228865
A_23_P25194,DCTN4,DCTN4,NM_016221.3; NM_001135644.1; NM_001135643.1,ENSG00000132912,ENST00000424236; ENST00000447998
A_23_P386942,DIRAS1,DIRAS1,NM_145173.3,ENSG00000176490,ENST00000323469
A_23_P416289,DIXDC1,DIXDC1,NM_001037954.2; NM_033425.3,ENSG00000150764,ENST00000315253; ENST00000440460; ENST00000530411; ENST00000389821; ENST00000572808; ENST00000577090
A_23_P36458,DOCK4,DOCK4,NM_014705.3,ENSG00000128512,ENST00000494651; ENST00000445943; ENST00000437633; ENST00000486186; ENST00000428084; ENST00000423057
A_23_P303718,DST,DST,NM_001144769.2; NM_001144770.1; NM_015548.4; NM_183380.3; NM_001723.5,ENSG00000151914,ENST00000312431; ENST00000446842; ENST00000421834; ENST00000370769; ENST00000370754; ENST00000482156; ENST00000466429; ENST00000518464; ENST00000523292; ENST00000370788; ENST00000244364
A_23_P171077,EBP,EBP,NM_006579.2,ENSG00000268394; ENSG00000147155,ENST00000600384; ENST00000598515; ENST00000276096; ENST00000495186
A_32_P106553,EBP,EBP,NM_006579.2,ENSG00000268394; ENSG00000147155,ENST00000598584; ENST00000597879; ENST00000599607; ENST00000598515; ENST00000414061; ENST00000446158; ENST00000498425; ENST00000495186
A_32_P113812,EBP,EBP,,ENSG00000237605; ENSG00000264375,ENST00000425161; ENST00000579118
